10;26;11;26;11;25;1;0;1;0;0;0;2;1;1;0;1.1039735028405882;0;(1,1);(2,1);(3,1);(4,1);(5,1);(6,0);(7,1);(8,1);(9,1);(10,0);(11,1);(12,1);(13,1);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(20,0);(21,1);(22,0);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,0);(30,1);(31,0);(32,0);(33,0);(34,1);(35,1);(36,1);(37,0);(38,1);(39,1);(40,1);
20;24;12;25;11;25;0;2;1;1;0;1;1;1;1;0;2.9290642822459607;0;(1,1);(2,1);(3,1);(4,1);(5,1);(6,0);(7,1);(8,1);(9,1);(10,1);(11,1);(12,1);(13,1);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(20,0);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,0);(32,1);(33,1);(34,1);(35,1);(36,1);(37,0);(38,1);(39,1);(40,1);
30;24;10;25;9;25;0;4;0;4;0;1;1;0;2;0;5.166462170946463;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,1);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(20,0);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,1);(40,1);
40;24;11;25;10;25;1;3;1;3;0;1;0;1;0;0;7.613514716070081;0;(1,1);(2,1);(3,3);(4,1);(5,1);(6,1);(7,2);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(20,0);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,1);(40,1);
50;27;8;26;9;25;0;4;0;4;0;0;1;0;1;0;9.74610590274973;0;(1,1);(2,1);(3,3);(4,1);(5,1);(6,1);(7,2);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,1);(40,1);
60;27;10;25;12;25;0;2;0;2;0;0;1;0;1;0;11.70395768761796;0;(1,1);(2,1);(3,3);(4,1);(5,1);(6,1);(7,2);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,1);(15,1);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,1);(38,1);(39,1);(40,1);
70;26;10;25;11;25;1;1;1;1;0;0;2;0;2;0;14.055984124766912;0;(1,1);(2,1);(3,3);(4,1);(5,1);(6,1);(7,2);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,2);(15,1);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,1);(38,1);(39,1);(40,1);
80;26;9;26;9;25;1;2;1;2;0;0;2;0;2;0;16.364259514146234;0;(1,1);(2,1);(3,3);(4,1);(5,1);(6,1);(7,3);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,3);(15,1);(16,1);(17,1);(18,1);(19,1);(20,2);(21,2);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,1);(38,1);(39,1);(40,1);
90;26;8;24;10;25;0;3;0;3;0;0;3;1;2;0;18.565069163578308;0;(1,1);(2,1);(3,3);(4,1);(5,1);(6,1);(7,3);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,3);(15,1);(16,1);(17,1);(18,1);(19,1);(20,2);(21,2);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,1);(38,1);(39,2);(40,1);
100;25;8;25;8;25;2;2;1;3;0;0;3;0;3;0;20.744926757602357;0;(1,1);(2,1);(3,4);(4,1);(5,1);(6,1);(7,3);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,3);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,2);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,1);(38,1);(39,2);(40,1);
